"tid","match_id"
509666,524915
509666,524916
509666,524917
509666,524918
509666,524919
509666,524920
509666,524921
509666,524922
509666,524923
509666,524924
509666,524925
509666,524926
509666,524927
509666,524928
509666,524929
509666,524930
509666,524931
509666,524932
509666,524933
509666,524934
509666,524935
509666,524936
509666,524937
509666,524938
509666,524939
509666,524940
509666,524941
509666,524942
509666,524943
509666,524944
509666,524945
571220,571232
571220,571233
571220,571234
571220,571235
571220,571236
571220,571237
571220,571238
571220,571239
571220,571240
571220,571241
571220,571242
571220,571243
571220,571244
571220,571245
571220,571246
571220,571247
571220,571248
571220,571249
571220,571250
571220,571251
571220,571252
571220,571253
571220,571254
571220,571255
571220,571256
571220,571257
571220,571258
571220,571259
571220,571260
571220,571261
571220,571262
571220,571263
571220,571264
571220,571265
571220,571266
641477,654031
641477,654033
641477,654035
641477,654037
641477,654039
641477,654041
641477,654043
641477,654045
641477,654047
641477,654049
641477,654051
641477,654053
641477,654055
641477,654057
641477,654059
641477,654061
641477,654063
641477,654065
641477,654067
641477,654069
641477,654071
641477,654073
641477,654075
641477,654077
641477,654079
641477,654081
641477,654083
641477,654085
641477,654087
641477,654089
641477,654091
641477,654093
641477,654095
641477,654097
641477,654099
756733,756735
756733,756737
756733,756739
756733,756741
756733,756743
756733,756745
756733,756747
756733,756749
756733,756751
756733,756753
756733,756755
756733,756757
756733,756759
756733,756761
756733,756763
756733,756765
756733,756767
756733,756769
756733,756789
756733,756773
756733,756771
756733,756777
756733,756779
756733,756781
756733,756783
756733,756785
756733,756787
756733,756797
756733,756791
756733,756793
756733,756795
756733,756775
756733,756799
756733,756801
756733,756803
897689,897695
897689,897697
897689,897699
897689,897701
897689,897703
897689,897705
897689,897707
897689,897709
897689,897711
897689,897713
897689,897715
897689,897717
897689,897719
897689,897721
897689,897723
897689,897725
897689,897727
897689,897729
897689,897731
897689,897733
897689,897735
897689,897737
897689,897739
897689,897741
897689,897743
897689,897745
897689,897747
897689,897749
897689,897751
897689,897753
897689,897755
897689,897757
897689,897759
897689,897761
897689,897763
1023537,1023581
1023537,1023583
1023537,1023585
1023537,1023587
1023537,1023589
1023537,1023591
1023537,1023593
1023537,1023595
1023537,1023597
1023537,1023599
1023537,1023601
1023537,1023603
1023537,1023605
1023537,1023607
1023537,1023609
1023537,1023611
1023537,1023613
1023537,1023615
1023537,1023617
1023537,1023619
1023537,1023621
1023537,1023623
1023537,1023625
1023537,1023627
1023537,1023629
1023537,1023631
1023537,1023633
1023537,1023635
1023537,1023637
1023537,1023639
1023537,1023641
1023537,1023643
1023537,1023645
1023537,1023647
1023537,1023649
1114852,1114856
1114852,1114857
1114852,1114858
1114852,1114859
1114852,1114860
1114852,1114861
1114852,1114862
1114852,1114863
1114852,1114864
1114852,1114865
1114852,1114866
1114852,1114867
1114852,1114868
1114852,1114869
1114852,1114870
1114852,1114871
1114852,1114872
1114852,1114873
1114852,1114874
1114852,1114875
1114852,1114876
1114852,1114877
1114852,1114878
1114852,1114879
1114852,1114880
1114852,1114881
1114852,1114882
1114852,1114883
1114852,1114884
1114852,1114885
1114852,1114886
1114852,1114887
1114852,1114888
1114852,1114889
1114852,1114890
1114852,1114891
1114852,1114892
1114852,1114893
1114852,1114894
1114852,1114895
1114852,1114896
1114852,1114897
1114852,1114898
1152510,1152511
1152510,1152512
1152510,1152513
1152510,1152514
1152510,1152515
1152510,1152516
1152510,1152517
1152510,1152518
1152510,1152519
1152510,1152520
1152510,1152521
1152510,1152522
1152510,1152523
1152510,1152524
1152510,1152525
1152510,1152526
1152510,1152527
1152510,1152528
1152510,1152529
1152510,1152530
1152510,1152531
1152510,1152532
1152510,1152533
1152510,1152534
1152510,1152535
1152510,1152536
1152510,1152537
1152510,1152538
1152510,1152539
1152510,1152540
1152510,1152541
1152510,1152542
1152510,1152543
1152510,1152544
1152510,1152545
1152510,1152546
1152510,1152547
1152510,1152548
1152510,1152549
1152510,1152550
1152510,1152551
1152510,1152552
1152510,1152553
1152510,1152554
1152510,1152555
1152510,1152556
1152510,1152557
1152510,1152558
1152510,1152559
1152510,1152560
1152510,1152561
1152510,1152562
1152510,1152563
1152510,1152564
